id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
C5-001,SLA Chapter 5,What is the main focus of psycholinguistic approaches to SLA?,"How learners process, represent, and use language in real time",How schools should design final examinations,How literary texts are interpreted historically,How translation should be scored in writing classes,1,"Source: Psycholinguistic approaches examine language learning through processing, memory, attention, production, and comprehension rather than grammar rules alone.",SLA Chapter 5 notes: 5.1 Introduction
C5-002,SLA Chapter 5,Which contrast best describes the difference between linguistic and psycholinguistic perspectives?,"Linguistics often emphasizes grammar and constraints, while psycholinguistics emphasizes processing and cognition","Linguistics studies motivation, while psycholinguistics studies only school policy","Linguistics rejects grammar, while psycholinguistics rejects memory","Linguistics focuses only on vocabulary, while psycholinguistics focuses only on pronunciation",1,Source: The introduction contrasts grammar and constraints with psychological factors such as working memory and processing limitations.,SLA Chapter 5 notes: 5.1 Introduction
C5-003,SLA Chapter 5,"In language production models, what does conceptualization refer to?",Forming the message or idea that the speaker wants to express,Checking whether the listener agrees with the speaker,Memorizing a word list before speaking,Scoring the grammatical accuracy of a sentence,1,Source: Conceptualization is the stage in which speakers decide what they want to say before linguistic formulation and articulation.,SLA Chapter 5 notes: 5.2 Models of Language Production
C5-004,SLA Chapter 5,What does a spreading activation model suggest about language production?,Activating one concept can activate related lexical and linguistic information,Learners produce sentences by applying only one fixed grammar rule,Only written input can trigger language production,Words are stored separately without any connections,1,"Source: In spreading activation, related concepts and words become activated together, which can explain facilitation and competition in production.",SLA Chapter 5 notes: 5.2 Models of Language Production
C5-005,SLA Chapter 5,What is a key idea of modular models of language production?,Language production can be described as involving separate processing components or stages,All language production happens through one undivided mechanism,Meaning is irrelevant to speech production,Only pronunciation matters in language production,1,"Source: Modular accounts divide production into components such as conceptualization, formulation, articulation, and monitoring.",SLA Chapter 5 notes: 5.2 Models of Language Production
C5-006,SLA Chapter 5,What is the central claim of Processability Theory?,Learners can acquire and use structures only when they are developmentally able to process them,Any grammar rule can be acquired immediately after explicit explanation,Vocabulary frequency has no effect on learning,Learners always acquire the most difficult structures first,1,Source: Processability Theory links acquisition order to the learner’s capacity to process particular grammatical procedures.,SLA Chapter 5 notes: 5.3 Processability Theory
C5-007,SLA Chapter 5,Which classroom implication follows from Processability Theory?,Instruction is more effective when it targets structures learners are ready to process,Teachers should teach only the most complex grammar first,Learners should avoid communication until they master all grammar,Input should be removed so learners can focus on rules,1,"Source: If learners cannot yet process a structure, explanation alone may not lead to immediate acquisition.",SLA Chapter 5 notes: 5.3 Processability Theory
C5-008,SLA Chapter 5,Which example best fits a processability-based explanation?,A learner fails to use a structure because the required processing procedure is not yet available,A learner refuses to speak because the textbook has no pictures,A learner forgets a word because it was printed in small font,A learner learns a word only because it appears in a song,1,Source: The theory explains developmental constraints in grammatical processing rather than motivation or presentation style alone.,SLA Chapter 5 notes: 5.3 Processability Theory
C5-009,SLA Chapter 5,"According to Input Processing Theory, what do learners often prioritize when interpreting input?",Meaning and lexical information before grammatical form,Teacher evaluation before sentence meaning,Spelling before all other information,Rare grammatical morphemes before content words,1,Source: Input Processing Theory emphasizes that learners tend to process meaning first and may overlook redundant or less salient forms.,SLA Chapter 5 notes: 5.4.1 Input processing
C5-010,SLA Chapter 5,Which example best illustrates meaning overriding form in input processing?,A learner understands past time from “yesterday” but does not notice the -ed ending,A learner ignores the word “yesterday” and notices only punctuation,A learner understands a sentence only by translating every sound,A learner notices only the color of the textbook page,1,Source: Learners may rely on lexical semantics or temporal adverbs instead of grammatical morphology when interpreting input.,SLA Chapter 5 notes: 5.4.1 Input processing
C5-011,SLA Chapter 5,Which type of information is likely to take center stage during early input processing?,Content words and nonredundant information,Silent pauses and page numbers,Only inflectional endings with no meaning,The teacher’s grading rubric,1,"Source: The notes emphasize content words, lexical items, and nonredundant information as especially likely to be processed.",SLA Chapter 5 notes: 5.4.1 Input processing
C5-012,SLA Chapter 5,What does processing determinism suggest about L2 acquisition?,Structural complexity can limit what learners are able to process and acquire,The most complex structures are always acquired first,Processing difficulty is unrelated to acquisition,Learners acquire grammar without receiving input,1,Source: Processing determinism connects acquisition with the learner’s ability to process structurally complex input.,SLA Chapter 5 notes: 5.4.2 Processing Determinism
C5-013,SLA Chapter 5,Why can “him” versus “himself” be difficult for L2 learners?,"It requires processing structural relations and reference, not just word meaning",It is difficult only because both words are rare,It requires no grammatical processing at all,It can be solved only through pronunciation practice,1,Source: Pronouns and reflexives require learners to interpret structural relationships such as who refers to whom.,SLA Chapter 5 notes: 5.4.2 Processing Determinism
C5-014,SLA Chapter 5,What is the main idea of Carroll’s Autonomous Induction Theory?,Acquisition can move forward when parsing failure leads learners to induce new categories or structures,Acquisition occurs only when learners memorize grammar tables,Parsing problems prevent all language development forever,Learners acquire language by avoiding difficult input,1,Source: The theory treats learning as an inductive process triggered by difficulty parsing utterances.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-015,SLA Chapter 5,"In Autonomous Induction Theory, what is parsing?",Categorizing the stream of sounds or words into meaningful linguistic units,Repeating a sentence aloud without understanding it,Choosing a topic for a speaking test,Correcting spelling errors after writing,1,Source: Parsing is the process of organizing input into meaningful units and structural relations.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-016,SLA Chapter 5,Why is “That’s the cat whom the dog bit” useful for explaining parsing difficulty?,The learner must identify that “whom” refers to the cat as the object of “bit”,The sentence contains no structural relationship,The sentence can be interpreted only by counting words,The sentence is difficult only because “cat” is an unknown word,1,Source: Object relative clauses require learners to parse relationships that are less straightforward than simple subject-verb-object patterns.,SLA Chapter 5 notes: 5.4.3 Autonomous Induction Theory
C5-017,SLA Chapter 5,What does the Shallow Structure Hypothesis claim about adult L2 comprehension?,"Adult L2 learners often rely more on lexical-semantic, pragmatic, and contextual information than on detailed syntax",Adult L2 learners always build deeper syntactic representations than native speakers,Adult L2 learners never use meaning when processing language,Adult L2 comprehension depends only on pronunciation speed,1,Source: The hypothesis argues that adult L2 representations in comprehension may be shallower and less syntactically detailed.,SLA Chapter 5 notes: 5.4.4 Shallow Structure Hypothesis
C5-018,SLA Chapter 5,Which situation best illustrates shallow structure processing?,A learner interprets a sentence mainly from world knowledge even when syntax points elsewhere,A learner analyzes every syntactic dependency in detail,A learner refuses to use context when reading,A learner ignores all lexical meaning,1,"Source: The hypothesis predicts greater reliance on non-structural information such as semantics, context, and pragmatic knowledge.",SLA Chapter 5 notes: 5.4.4 Shallow Structure Hypothesis
C5-019,SLA Chapter 5,What is the central idea of emergentist or usage-based models?,Language knowledge emerges from use and the extraction of regularities from input,Language is learned only by memorizing isolated definitions,Language use is irrelevant to learning,Only innate grammar can explain all learning,1,"Source: Emergentist models emphasize usage, input, and the gradual formation of patterns from experience.",SLA Chapter 5 notes: 5.5 Emergentist Models
C5-020,SLA Chapter 5,What are form-function mappings?,Connections between linguistic forms and the meanings or communicative functions they express,A list of test scores and student names,A method for translating every word literally,Connections between font size and page layout,1,Source: Usage-based approaches emphasize how learners connect forms such as -ed or word order with meanings and functions.,SLA Chapter 5 notes: 5.5 Emergentist Models
C5-021,SLA Chapter 5,What does the Competition Model propose about sentence interpretation?,Different cues compete to determine how a sentence is understood,Only one universal cue is used in all languages,Learners ignore word order in every language,Sentence interpretation is unrelated to input,1,"Source: The Competition Model explains comprehension through competition among cues such as word order, morphology, animacy, and context.",SLA Chapter 5 notes: 5.5.1 Competition Model
C5-022,SLA Chapter 5,"In the sentence “The grass eats the cows,” why is interpretation difficult?",Word order and morphology conflict with animacy and real-world knowledge,All cues support exactly the same interpretation,There is no verb in the sentence,The sentence is difficult only because it is long,1,"Source: The example shows competition among cues: grammar points to grass as subject, while world knowledge suggests cows eat grass.",SLA Chapter 5 notes: 5.5.1 Competition Model
