id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L12-P01-V01,Lesson 12,"As used in paragraph 1, the phrase “involves a mix of” most nearly means:",includes a combination of,removes the need for,is limited to only,strongly disagrees with,1,The paragraph says adults usually learn through a combination of the three strategies.,Vocabulary,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P01-F01,Lesson 12,"According to paragraph 1, what is one of the three ways to learn?",Believing what people tell you,Avoiding information from adults,Teaching others before learning,Memorizing words without context,1,"Paragraph 1 lists researching, experimenting, and believing what people tell you as three ways to learn.",Factual,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P01-I01,Lesson 12,What can be inferred from paragraph 1 about young children?,Their learning depends heavily on trusting information sources.,They learn best when they ignore teachers.,They usually learn in the same way adults do.,They can learn properly without help from others.,1,The paragraph contrasts adults with children and states that children need to trust the people they learn from.,Inference,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P01-S01,Lesson 12,"Adults usually learn through a ___ of research, experiments, and information from others.",mix,rejection,competition,shortage,1,The paragraph explicitly states that adult learning involves a mix of all three strategies.,Summary Cloze,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P01-S02,Lesson 12,"For young children, learning properly requires ___ in the people who give them information.",trust,distance,speed,silence,1,The paragraph says children need to be able to trust the people they learn information from.,Summary Cloze,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P01-S03,Lesson 12,"If children do not trust their teachers, they will learn ___.",less,more quickly,independently,only through experiments,1,The final sentence states that children will not learn as much if they do not trust their teachers.,Summary Cloze,"[1] There are three ways to learn: You can research and systematically analyze information, you can conduct your own experiments, or you can believe what people tell you. For adults, learning new things usually involves a mix of all three strategies. But, for young children, the story is very different. Children need to be able to trust the people they learn information from in order to learn properly. And, if they don’t trust their teachers, they won’t learn as much."
L12-P02-V01,Lesson 12,"As used in paragraph 2, the phrase “let alone” most nearly means:",much less,because of,at the same time as,instead of,1,"The sentence means children lack vocabulary, much less the reasoning ability needed for technical information.",Vocabulary,"[2] Before the age of eight or so, kids can’t really do much research on their own. They don’t have the vocabulary, let alone the reasoning ability, to acquire and analyze technical information. And while it’s true that they can conduct some basic experiments ― mix colors to see how they blend, or fill different shaped jars with liquids to understand the concept of volume ― their options are quite limited. Yet our children still manage to learn amazing amounts of information. Their brains, as most parents know, always want to gather facts. The questions can seem nonstop, like: Why is the sky blue? Why don’t people fall off the Earth if it’s round?"
L12-P02-F01,Lesson 12,"According to paragraph 2, why can’t children before about age eight do much research on their own?",They lack the vocabulary and reasoning ability to analyze technical information.,They refuse to ask questions about the world.,They already know most scientific facts.,They are not interested in experiments.,1,The paragraph states that they do not have the vocabulary or reasoning ability to acquire and analyze technical information.,Factual,"[2] Before the age of eight or so, kids can’t really do much research on their own. They don’t have the vocabulary, let alone the reasoning ability, to acquire and analyze technical information. And while it’s true that they can conduct some basic experiments ― mix colors to see how they blend, or fill different shaped jars with liquids to understand the concept of volume ― their options are quite limited. Yet our children still manage to learn amazing amounts of information. Their brains, as most parents know, always want to gather facts. The questions can seem nonstop, like: Why is the sky blue? Why don’t people fall off the Earth if it’s round?"
L12-P02-I01,Lesson 12,What does paragraph 2 suggest about children’s curiosity?,It is strong even though their independent research ability is limited.,It disappears once they conduct basic experiments.,It depends entirely on knowing technical vocabulary.,It is weaker than adults usually assume.,1,The paragraph says children still learn amazing amounts and ask nonstop questions despite limited options.,Inference,"[2] Before the age of eight or so, kids can’t really do much research on their own. They don’t have the vocabulary, let alone the reasoning ability, to acquire and analyze technical information. And while it’s true that they can conduct some basic experiments ― mix colors to see how they blend, or fill different shaped jars with liquids to understand the concept of volume ― their options are quite limited. Yet our children still manage to learn amazing amounts of information. Their brains, as most parents know, always want to gather facts. The questions can seem nonstop, like: Why is the sky blue? Why don’t people fall off the Earth if it’s round?"
L12-P02-S01,Lesson 12,"Before about age eight, children cannot easily research on their own because their vocabulary and reasoning are ___.",limited,complete,unnecessary,dangerous,1,The paragraph explains that young children lack the vocabulary and reasoning ability needed for technical research.,Summary Cloze,"[2] Before the age of eight or so, kids can’t really do much research on their own. They don’t have the vocabulary, let alone the reasoning ability, to acquire and analyze technical information. And while it’s true that they can conduct some basic experiments ― mix colors to see how they blend, or fill different shaped jars with liquids to understand the concept of volume ― their options are quite limited. Yet our children still manage to learn amazing amounts of information. Their brains, as most parents know, always want to gather facts. The questions can seem nonstop, like: Why is the sky blue? Why don’t people fall off the Earth if it’s round?"
