id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L09-P01-V01,Lesson 9,"As used in paragraph 1, the word “significantly” most nearly means:",considerably,slightly,accidentally,secretly,1,"In context, “significantly increase” means increase creative ability to a considerable degree.",Vocabulary,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P01-F01,Lesson 9,"According to paragraph 1, what can a brief walk do?",Increase a person’s creative ability,Make a presentation shorter,Replace the need for business planning,Prevent people from writing stories,1,The paragraph states that even a brief walk around the office can significantly increase creative ability.,Factual,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P01-I01,Lesson 9,What can be reasonably inferred from paragraph 1?,People may not need a special location to gain creative benefits from walking.,Only outdoor walking improves business presentations.,Creative ability cannot be measured in studies.,Walking is useful only for professional writers.,1,"The paragraph says even walking around an office can help, suggesting a special location is not necessary.",Inference,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P01-S01,Lesson 9,People who cannot think of a creative idea are advised to take a ___.,walk,test,nap,course,1,The paragraph opens by advising people to take a walk when they need a creative idea.,Summary Cloze,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P01-S02,Lesson 9,A recent study found that even a brief walk can increase creative ___.,ability,expense,competition,risk,1,The paragraph directly says that a brief walk can increase creative ability.,Summary Cloze,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P01-S03,Lesson 9,The passage begins by connecting walking with more ___ thinking.,creative,careless,technical,defensive,1,The examples of a business presentation and story beginning are about creative thinking.,Summary Cloze,"[1] If you are unable to think of an interesting, creative way to make a business presentation or begin a story, take a walk. The results of a recent study show that a brief walk, even around your office, can significantly increase your creative ability."
L09-P02-V01,Lesson 9,"As used in paragraph 2, “executive function” refers to:",the ability to make decisions and organize thoughts,the ability to control a company,the ability to run very quickly,the ability to memorize only names,1,The paragraph defines executive function as the ability to make decisions and organize thoughts.,Vocabulary,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P02-F01,Lesson 9,"According to paragraph 2, what have several studies shown?",Exercise can improve performance on memory and executive-function tests.,Exercise always damages memory for a long time.,Only animals benefit from walking.,People should do intense exercise before every exam.,1,The paragraph says animals and people usually perform better on memory and executive-function tests after exercising.,Factual,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P02-I01,Lesson 9,What can be inferred from paragraph 2 about exercise before an examination?,"Moderate exercise may be helpful, but excessive exercise could be harmful.",All exercise should be avoided before an examination.,Only intense exercise improves exam performance.,Exercise has no effect on the brain.,1,The paragraph warns against excessive exercise before an exam but says moderate exercise benefits the brain.,Inference,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P02-S01,Lesson 9,"Exercise, including walking, generally improves our thinking skills both immediately and in the ___ term.",longer,shorter,financial,social,1,The paragraph says exercise improves thinking skills both immediately and in the longer term.,Summary Cloze,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P02-S02,Lesson 9,Doing intense exercise for a long time can briefly make the brain ___.,tired,larger,silent,creative,1,The paragraph warns that intense exercise for a long time can briefly cause the brain to get tired and function poorly.,Summary Cloze,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P02-S03,Lesson 9,The paragraph concludes that ___ exercise benefits the brain.,moderate,excessive,competitive,dangerous,1,The final point of the paragraph is that moderate exercise benefits the brain.,Summary Cloze,"[2] Most of us have heard by now that exercise, including walking, generally improves our thinking skills, both immediately and in the longer term. Several studies have shown that, after exercising, animals and people usually perform better on tests of memory and executive function, which is the ability to make decisions and organize thoughts. We should also be aware that doing intense exercise for a long time can briefly cause our brain to get tired and function poorly, so we should be careful to avoid excessive exercise before an examination, but it is certain that moderate exercise benefits our brain."
L09-P03-V01,Lesson 9,"As used in paragraph 3, the word “aids” most nearly means:",helps,measures,prevents,hides,1,"In context, the researchers wanted to know whether exercise helps creativity.",Vocabulary,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P03-F01,Lesson 9,"According to paragraph 3, why did Stanford researchers decide to conduct a study?",There was little scientific evidence that exercise helps creativity.,Artists had already proven the connection scientifically.,They wanted to compare different universities.,They were trying to design a new treadmill.,1,"The paragraph says there was little scientific evidence, so the researchers decided to test the possibility.",Factual,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P03-I01,Lesson 9,What can be inferred about the research student’s idea?,It grew partly out of her own experience of walking with her adviser.,It was suggested by a professional athlete.,It was unrelated to her academic work.,It was based only on animal studies.,1,"The paragraph explains that she and her adviser walked to discuss thesis topics, and this led to the idea for the study.",Inference,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P03-S01,Lesson 9,"For centuries, writers and artists have claimed that they develop their best ideas during a ___.",walk,lecture,competition,meal,1,The paragraph states that writers and artists have long said they develop their best ideas during a walk.,Summary Cloze,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P03-S02,Lesson 9,Researchers at Stanford decided to test whether exercise really affects ___.,creativity,income,sleep,friendship,1,The paragraph says Stanford researchers decided to test whether exercise aids creativity.,Summary Cloze,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P03-S03,Lesson 9,A research student got the idea for the study while discussing thesis topics with her ___.,adviser,patient,classmate,employer,1,The paragraph says she and her adviser would go for walks to discuss thesis topics.,Summary Cloze,"[3] There are many stories about a link between exercise and creativity, too, with writers and artists having said for centuries that they develop their best ideas during a walk. However, there is little scientific evidence to support the idea that exercise aids creativity, so researchers at Stanford University recently decided to test that possibility, inspired, in part, by their own walks. A research student said that she and her adviser would go for walks to discuss thesis topics, and one day she got the idea to examine whether walking really does have an effect on creativity."
L09-P04-V01,Lesson 9,"As used in paragraph 4, the word “deliberately” most nearly means:",intentionally,carelessly,unexpectedly,quietly,1,The room was intentionally made dull and plain to control the conditions of the experiment.,Vocabulary,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P04-F01,Lesson 9,"According to paragraph 4, what did the students do while walking on the treadmill?",They repeated oral creativity tests.,They watched a video of Stanford’s campus.,They wrote a full business presentation.,They competed to walk at the fastest speed.,1,The paragraph says each student repeated the creativity tests while walking.,Factual,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P04-I01,Lesson 9,Why was the room probably made dull and plain?,To reduce the influence of interesting surroundings on creativity,To make the students walk faster,To imitate an outdoor environment,To help the students memorize objects,1,"Because the room had no stimulating equipment and the treadmill faced a blank wall, the design likely reduced environmental influence.",Inference,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P04-S01,Lesson 9,The researcher recruited a group of undergraduate students to see whether she could stimulate their ___.,creativity,memory,athleticism,sleepiness,1,The purpose of the experiment was to see if the researcher could stimulate creativity.,Summary Cloze,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P04-S02,Lesson 9,One creativity task required students to rapidly say alternative uses for common ___.,objects,animals,books,meals,1,The paragraph gives the example of saying alternative uses for common objects such as a button.,Summary Cloze,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P04-S03,Lesson 9,"During the treadmill condition, students walked at an easy and comfortable ___.",pace,angle,temperature,volume,1,"The students selected an easy, comfortable pace by themselves.",Summary Cloze,"[4] With the enthusiastic support of her adviser, the researcher recruited a group of undergraduate students for an experiment to see if she could stimulate their creativity. Gathering her volunteers in a deliberately dull, plain room with no equipment except a desk and (somewhat unusually) a treadmill, she asked the students to sit and complete oral tests of creativity, some of which involved tasks like rapidly saying alternative uses for common objects, such as a button. Then the students walked on the treadmill, at an easy, comfortable pace that they selected by themselves. The treadmill faced a blank wall. While walking, each student repeated the creativity tests, which required about eight minutes."
L09-P05-V01,Lesson 9,"As used in paragraph 5, the word “substantial” most nearly means:",large,temporary,unnecessary,unusual in appearance,1,A substantial increase means a large or considerable increase.,Vocabulary,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P05-F01,Lesson 9,"According to paragraph 5, what happened to most students when they walked?",They produced about 60 percent more uses for an object.,They became unable to finish the creativity test.,They repeated the same ideas more often.,They preferred to stop the experiment early.,1,The paragraph says most students were able to produce about 60 percent more uses for an object.,Factual,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P05-I01,Lesson 9,What can be inferred from the statement that the ideas were “both unique and appropriate”?,Walking improved the quality as well as the quantity of ideas.,Walking made students produce strange but useless ideas.,The students copied ideas from each other.,The test measured only physical endurance.,1,Unique and appropriate ideas show that the ideas were not merely more numerous but also useful and original.,Inference,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P05-S01,Lesson 9,Almost every student showed a substantial increase in creativity when they ___.,walked,slept,read,argued,1,The paragraph directly states that creativity increased when the students walked.,Summary Cloze,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P05-S02,Lesson 9,Most students produced about ___ percent more uses for an object.,60,10,25,90,1,The paragraph gives the figure of about 60 percent more uses.,Summary Cloze,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P05-S03,Lesson 9,The students’ ideas were described as both unique and ___.,appropriate,expensive,ordinary,private,1,The paragraph says the ideas were both unique and appropriate.,Summary Cloze,"[5] Almost every student had a substantial increase in creativity when they walked. Most of them were able to produce about 60 percent more uses for an object, and the ideas were both unique and appropriate."
L09-P06-V01,Lesson 9,"As used in paragraph 6, “practical importance” most nearly means:",usefulness in real situations,difficulty in scientific measurement,a rule for using a treadmill,a student’s personal preference,1,The paragraph discusses whether the finding would matter outside the treadmill situation.,Vocabulary,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P06-F01,Lesson 9,"According to paragraph 6, what did the researcher test next?",Whether the effects of walking continued after the walk ended,Whether students could run faster after sitting,Whether creativity increased only outdoors,Whether students preferred desks to treadmills,1,The paragraph states that the researcher next tested whether the effects would continue after a walk had ended.,Factual,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P06-I01,Lesson 9,Why would an increase in creativity only during walking have limited value?,Most people cannot do creative work while walking on treadmills.,Walking would become too expensive for students.,Creativity tests require sleeping afterward.,People usually dislike sitting after walking.,1,"The paragraph explains that most people cannot do creative work on treadmills, so a walking-only effect would lack practical importance.",Inference,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P06-S01,Lesson 9,The researcher wanted to know whether the creativity effect would continue after a walk had ___.,ended,started,failed,slowed,1,The paragraph says she tested whether the effects would continue after a walk had ended.,Summary Cloze,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P06-S02,Lesson 9,Another group of students first sat for two successive sessions of test-___.,taking,writing,running,drawing,1,The paragraph says another group sat for two successive sessions of test-taking.,Summary Cloze,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P06-S03,Lesson 9,The students then walked for about eight minutes while telling ideas for uses of an ___.,object,office,animal,exam,1,The paragraph says they walked while telling their ideas for uses of an object.,Summary Cloze,"[6] If creativity were to increase only while someone was walking, that finding would seem to have no practical importance. Most of us cannot do any creative work on treadmills. So the researcher next tested whether the effects would continue after a walk had ended. She had another group of students sit for two successive sessions of test-taking and subsequently walk for about eight minutes while telling their ideas for uses of an object, then sit and repeat the test."
L09-P07-V01,Lesson 9,"As used in paragraph 7, the word “significantly” most nearly means:",considerably,rarely,secretly,incorrectly,1,The word describes a meaningful improvement in people’s ability to produce creative ideas.,Vocabulary,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P07-F01,Lesson 9,"According to paragraph 7, what happened after the students sat down following a walk?",They still produced more creative ideas.,They immediately lost all creative ability.,They refused to continue the test.,They produced fewer ideas than before exercise.,1,The paragraph says walking improved creative ability even when the students sat down after the walk.,Factual,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P07-I01,Lesson 9,What can be inferred from paragraph 7?,The creative benefit of walking can last briefly after walking stops.,The benefit of walking requires a treadmill at all times.,Sitting is more effective than walking for creativity.,Students judged their own ideas as worse after walking.,1,"Because the students remained more creative after sitting down, the benefit continued after walking stopped.",Inference,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P07-S01,Lesson 9,Walking improved people’s ability to produce creative ideas even after they sat ___.,down,outside,silently,together,1,The paragraph says the effect remained even when the students sat down after the walk.,Summary Cloze,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P07-S02,Lesson 9,The volunteers produced more ideas than in their testing period before ___.,exercise,breakfast,graduation,discussion,1,The comparison is with the testing period before exercise.,Summary Cloze,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P07-S03,Lesson 9,Both the researcher and the students thought the post-walk ideas were ___.,better,longer,slower,louder,1,The paragraph states that the ideas were better according to both the researcher and the students.,Summary Cloze,"[7] Again, walking significantly improved people’s ability to produce creative ideas, even when they sat down after the walk. In that case, the volunteers who had walked produced significantly more ideas than in their testing period before exercise, and, according to both the researcher and the students, those ideas were better."
L09-P08-V01,Lesson 9,"As used in paragraph 8, the word “assumption” most nearly means:",belief,measurement,mistake,instruction,1,The assumption was the belief that outdoor walking would be much better for creativity than indoor walking.,Vocabulary,"[8] Finally, to examine whether the results of walking and creativity could apply to the real world, portions of the experiment were moved to an outdoor space. Most people would probably guess that walking outside should be much better for creativity than walking inside a dull office, but surprisingly, that assumption was proven to be wrong. When volunteers walked around Stanford’s pleasant, green campus for about eight minutes, they produced more creative ideas than when they sat either inside or outside for the same length of time. But they were not especially more creative as a result of their outdoor walk than when, in a repeat of the experiment, they walked on an indoor treadmill, facing a blank wall. It really seems that it’s the walking that is important for stimulating creativity, and not the surroundings."
