id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L08-P01-V01,Lesson 8,"As used in the passage, the word “mere” most nearly means:",simple or only,dangerous,frequent,deliberate,1,"In context, “mere presence” means that just the simple presence of a smartphone is enough to affect conversation.",Vocabulary,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P01-F01,Lesson 8,"According to the passage, what can reduce the quality of a face-to-face conversation?",The presence of a smartphone,A lack of shared interests,The length of the conversation,The location of the conversation,1,The paragraph states that the mere presence of a smartphone is enough to drag down conversation quality.,Factual,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P01-I01,Lesson 8,What can be reasonably inferred from the paragraph?,A smartphone may affect conversation even when it is not actively being used.,Only phone calls damage conversations.,Face-to-face conversations are no longer common.,The study focused mainly on texting behavior.,1,The phrase “mere presence” suggests that simply having the phone nearby can influence the interaction.,Inference,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P01-S01,Lesson 8,A new study suggests that the presence of a smartphone can ___ the quality of conversation.,lower,measure,improve,ignore,1,“Drag down” means reduce or lower the quality.,Summary Cloze,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P01-S02,Lesson 8,The study focuses on the quality of ___ conversation.,face-to-face,online,written,professional,1,The paragraph specifically mentions face-to-face conversation.,Summary Cloze,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P01-S03,Lesson 8,The main claim is that smartphones can have a negative effect through their ___ alone.,presence,price,size,battery life,1,"The key point is the presence of the smartphone, not its specific use or features.",Summary Cloze,"[1] The mere presence of a smartphone is enough to drag down the quality of a face-to-face conversation, according to a new study."
L08-P02-V01,Lesson 8,"As used in the passage, the word “intrigued” most nearly means:",curious or interested,confused and discouraged,angry and impatient,certain and satisfied,1,Misra became interested enough in the observation to design a follow-up experiment.,Vocabulary,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
L08-P02-F01,Lesson 8,"According to the paragraph, how often did many coffee shop visitors check their phones?",Every 3 to 5 minutes,Once every hour,Only after leaving the shop,Only when receiving a call,1,The paragraph says many visitors checked their phones every 3 to 5 minutes.,Factual,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
L08-P02-I01,Lesson 8,What can be reasonably inferred about the initial observational study?,It helped motivate a more controlled follow-up experiment.,It proved that smartphones improve conversation quality.,It focused only on people sitting alone.,It measured participants’ grades and work performance.,1,The observation intrigued Misra and led her to design a follow-up experiment.,Inference,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
L08-P02-S01,Lesson 8,Researchers first observed that many coffee shop visitors frequently ___ their phones.,checked,lost,shared,charged,1,The paragraph states that many visitors checked their phones every 3 to 5 minutes.,Summary Cloze,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
L08-P02-S02,Lesson 8,Visitors often held their phones or placed them on the ___.,table,floor,counter,wall,1,The phones were usually held or placed on the table.,Summary Cloze,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
L08-P02-S03,Lesson 8,Misra then designed a follow-up experiment to measure how phones influenced conversation ___.,quality,length,volume,location,1,The experiment was designed to measure the quality of conversation.,Summary Cloze,"[2] In an initial observational study, researchers found that many coffee shop visitors sitting in pairs or in small groups checked their phones every 3 to 5 minutes, and usually held or placed their phones on the table in front of them. Intrigued, lead researcher Shalini Misra, a psychology professor at Virginia Tech, designed a follow-up experiment to measure how the presence of phones influenced the quality of conversation."
