id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L10-P01-V01,Lesson 10,"As used in paragraph 1, the phrase “account for” most nearly means:",explain,ignore,increase,translate,1,"The paragraph discusses attempts to account for English’s spread, meaning attempts to explain it.",Vocabulary,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P01-F01,Lesson 10,"According to paragraph 1, what aspect has received relatively little attention?",The sociolinguistics of English as a lingua franca,The grammar of English in native-speaker countries,The history of English literature,The number of English dictionaries published worldwide,1,The paragraph states that the sociolinguistics of English as a lingua franca has received relatively little attention.,Factual,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P01-I01,Lesson 10,What can be reasonably inferred from paragraph 1?,The spread of English has created new topics for analysis.,Researchers no longer study native English contexts.,English is used in only one stable way around the world.,Creative writing is the main focus of English research.,1,The paragraph links English’s increasing global use with attempts to analyze its spread and new uses.,Inference,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P01-S01,Lesson 10,"As English has spread, scholars have tried to explain its ___ and new uses.",spread,decline,spelling,pronunciation,1,The paragraph opens by saying that attempts have been made to account for English’s spread and new uses.,Summary Cloze,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P01-S02,Lesson 10,"Discussions of English in native, foreign language, and lingua franca contexts are described as ___.",wide ranging and diverse,brief and simple,mainly historical,limited to grammar,1,The paragraph directly describes those discussions as wide ranging and diverse.,Summary Cloze,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P01-S03,Lesson 10,The paragraph points out that one underexplored topic is the ___ of English as a lingua franca.,sociolinguistics,phonetics,etymology,translation,1,The paragraph specifically identifies sociolinguistics as the relatively neglected area.,Summary Cloze,"[1] As English has increased in use across the world, so have attempts to account for its spread and to analyze the new ways it is used. While discussions about English in native, in foreign language and in lingua franca contexts are wide ranging and diverse, one aspect which has received relatively little attention so far is the sociolinguistics of English as a lingua franca. （中略）"
L10-P02-V01,Lesson 10,"As used in paragraph 2, the phrase “on course to become” most nearly means:",likely to become,forced to become,unable to become,already replaced by,1,English was seen as being on a path toward becoming a world language.,Vocabulary,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P02-F01,Lesson 10,"According to paragraph 2, who predicted that English would become extremely widely used?",President John Adams,David Crystal,Ferguson,Bolton and Graddol,1,The paragraph quotes President John Adams in 1780 about the future status of English.,Factual,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P02-I01,Lesson 10,What can be inferred about ideas concerning English as a world language?,They existed long before the 20th and 21st centuries.,They began only after the Internet was invented.,They were limited to British linguists.,They were rejected by political leaders in the 18th century.,1,The paragraph says English was already viewed this way as early as the 18th century.,Inference,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P02-S01,Lesson 10,"In the 18th century, English was already viewed as being on its way to becoming a ___ language.",world,local,private,dead,1,The paragraph explicitly says English was seen to be on course to become a world language.,Summary Cloze,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P02-S02,Lesson 10,John Adams believed English would become widely ___ and spoken.,read,forgotten,translated,restricted,1,The quotation predicts that English would be universally read and spoken.,Summary Cloze,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P02-S03,Lesson 10,The paragraph uses Adams’s statement to show that predictions about English’s global role were made ___.,early,secretly,incorrectly,recently,1,The date 1780 shows that such predictions were made at an early point.,Summary Cloze,"[2] As early as the 18th century, English was seen to be on course to become a world language. President John Adams said in 1780, “English will be the most respectable language in the world and the most universally read and spoken in the next century, if not before the close of this one.”"
L10-P03-V01,Lesson 10,"As used in paragraph 3, the word “prescient” most nearly means:",showing knowledge of future developments,focused only on the past,based on official statistics,difficult to understand,1,Adams’s prediction appears prescient because later developments made it seem accurate.,Vocabulary,"[3] From the vantage point of the 21st century, this impression seems remarkably prescient: English is not merely the language of England and other countries of the British Isles, but a language used natively across the globe by millions of speakers. （中略） Recent estimates suggest that there are around 400 million speakers of English as a native language and a similar number (around 430 million) who use English as a second language in countries where it has some kind of official status. The latter countries are often those which were affected by British colonization and in which English was established as an important second or official language, but not as a first language (for example, India, Cameroon, Nigeria and Jamaica)."
